City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
103,Quelimane,MZ,-17.8786,36.8883,71.74,78,0,8.28,clear sky
104,Mormugao,IN,15.4,73.8,78.82,85,100,22.84,overcast clouds
105,Whitehorse,CA,60.7161,-135.0538,55.09,69,87,4.0,overcast clouds
106,Bredasdorp,ZA,-34.5322,20.0403,54.25,85,93,7.72,overcast clouds
107,Palmer,US,42.1584,-72.3287,94.21,56,58,1.99,broken clouds
108,Castro,BR,-24.7911,-50.0119,57.63,97,100,6.35,moderate rain
109,Mehamn,NO,71.0357,27.8492,57.11,76,20,20.71,few clouds
110,New Norfolk,AU,-42.7826,147.0587,37.71,84,3,2.66,clear sky
111,Kaitangata,NZ,-46.2817,169.8464,29.48,91,7,4.36,clear sky
112,Sola,VU,-13.8833,167.55,79.57,73,5,2.42,clear sky
113,Cockburn Town,TC,21.4612,-71.1419,82.18,76,34,17.18,scattered clouds
114,Torbay,CA,47.6666,-52.7314,57.27,88,100,5.01,overcast clouds
115,Saint-Pierre,RE,-21.3393,55.4781,67.68,72,20,10.36,few clouds
116,Yar-Sale,RU,66.8333,70.8333,59.49,54,99,9.1,overcast clouds
117,Voh,NC,-20.9667,164.7,60.94,72,9,3.51,clear sky
118,Ancud,CL,-41.8697,-73.8203,47.23,67,100,2.64,overcast clouds
119,Sławno,PL,54.3628,16.6789,68.76,55,32,8.48,scattered clouds
120,Coquimbo,CL,-29.9533,-71.3436,64.18,49,3,5.32,clear sky
121,Atuona,PF,-9.8,-139.0333,76.98,74,24,19.66,few clouds
122,Russell,US,32.3502,-85.1999,86.13,49,22,4.76,few clouds
123,Cherskiy,RU,68.75,161.3,58.62,89,100,5.99,moderate rain
124,Cassilândia,BR,-19.1133,-51.7342,68.0,87,100,5.57,overcast clouds
125,Yemtsa,RU,63.0734,40.3329,53.91,91,100,2.04,overcast clouds
126,Mana,GF,5.6592,-53.7767,88.11,58,95,12.01,overcast clouds
127,Nelidovo,RU,56.2211,32.7774,61.54,73,98,4.97,overcast clouds
128,Taltal,CL,-25.4,-70.4833,69.6,46,2,5.77,clear sky
129,Grajaú,BR,-5.8194,-46.1386,98.91,19,1,6.71,clear sky
130,Meulaboh,ID,4.1363,96.1285,77.4,85,88,2.28,overcast clouds
131,Vanimo,PG,-2.6741,141.3028,76.33,86,100,3.76,overcast clouds
132,Guerrero Negro,MX,27.9769,-114.0611,82.09,53,96,5.82,overcast clouds
133,Saint Paul Harbor,US,57.79,-152.4072,49.75,94,100,2.19,light rain
134,Plettenberg Bay,ZA,-34.0527,23.3716,62.15,66,62,4.0,broken clouds
135,Lagoa,PT,39.05,-27.9833,73.04,77,13,5.37,few clouds
136,Washington,US,47.5001,-120.5015,82.29,25,100,3.62,overcast clouds
137,Mar del Plata,AR,-38.0023,-57.5575,54.95,72,63,3.0,broken clouds
138,Evensk,RU,61.95,159.2333,54.79,69,21,5.17,few clouds
139,Hambantota,LK,6.1241,81.1185,78.19,83,87,13.49,overcast clouds
140,Rāzole,IN,16.4833,81.8333,77.34,87,100,7.25,light rain
141,Toamasina,MG,-18.1667,49.3833,68.97,82,45,8.41,scattered clouds
142,Port Hedland,AU,-20.3167,118.5667,66.25,39,100,4.61,overcast clouds
143,Pochutla,MX,15.7432,-96.4661,89.82,51,84,4.74,broken clouds
144,Marawi,PH,7.9986,124.2928,67.57,97,100,2.75,overcast clouds
145,Erdenet,MN,49.0333,104.0833,54.91,95,100,2.17,overcast clouds
146,Praia,CV,14.9215,-23.5087,82.45,75,99,10.2,overcast clouds
147,Tigre,AR,-34.426,-58.5796,57.2,66,74,3.0,broken clouds
148,Maceió,BR,-9.6658,-35.7353,83.64,57,40,10.36,scattered clouds
149,Mayo,US,38.8876,-76.5119,96.67,62,47,4.0,scattered clouds
150,Talaya,RU,61.3833,152.75,57.65,74,100,5.97,overcast clouds
151,Soe,ID,-9.8607,124.284,64.81,90,27,4.7,scattered clouds
152,Chokurdakh,RU,70.6333,147.9167,51.13,90,76,6.82,broken clouds
153,Flinders,AU,-34.5833,150.8552,52.18,83,90,7.0,overcast clouds
154,Kiryat Gat,IL,31.61,34.7642,83.8,100,0,9.22,clear sky
155,Fort Nelson,CA,58.8053,-122.7002,65.95,47,17,4.09,few clouds
156,Soyo,AO,-6.1349,12.3689,71.87,79,3,8.95,clear sky
157,Erenhot,CN,43.6475,111.9767,78.53,31,0,9.64,clear sky
158,Lompoc,US,34.6391,-120.4579,61.52,88,100,10.36,mist
159,Pedernales,DO,18.0384,-71.744,91.74,49,9,4.9,clear sky
160,Hamilton,US,39.1834,-84.5333,88.09,76,100,8.05,overcast clouds
161,Faanui,PF,-16.4833,-151.75,76.15,68,100,8.55,overcast clouds
162,Saint-Augustin,CA,51.226,-58.6502,68.13,45,100,11.74,overcast clouds
163,Wewak,PG,-3.5534,143.6268,78.21,85,100,5.68,overcast clouds
164,Ribeira Grande,PT,38.5167,-28.7,77.4,78,20,4.61,few clouds
165,Tual,ID,-5.6667,132.75,79.32,80,100,12.68,overcast clouds
166,Rantepao,ID,-2.9701,119.8978,66.69,98,96,1.77,light rain
167,Khatanga,RU,71.9667,102.5,55.72,76,82,10.16,broken clouds
168,Caxito,AO,-8.5785,13.6643,72.86,74,11,10.04,few clouds
169,Norrtälje,SE,59.758,18.705,72.43,57,79,8.48,broken clouds
170,Aswān,EG,24.0934,32.907,102.6,16,35,14.43,scattered clouds
171,Porto-Novo,BJ,6.4965,2.6036,79.56,65,97,10.45,overcast clouds
172,Mahébourg,MU,-20.4081,57.7,68.25,69,93,20.07,overcast clouds
173,Bitlis Province,TR,38.5,42.25,70.57,23,0,6.44,clear sky
174,Wuwei,CN,37.9281,102.6414,68.52,87,100,1.61,overcast clouds
175,Whyalla,AU,-33.0333,137.5833,60.69,36,100,17.27,light rain
176,Lota,CL,-37.0833,-73.1667,56.66,49,100,3.78,overcast clouds
177,Upata,VE,8.0086,-62.3989,87.19,71,65,4.43,broken clouds
178,Saint Anthony,US,45.0205,-93.218,79.88,58,0,5.75,clear sky
179,Lapua,FI,62.9693,23.0088,69.35,61,63,5.12,broken clouds
180,Rafai,CF,4.95,23.9167,77.97,71,100,1.01,overcast clouds
181,Honningsvåg,NO,70.9821,25.9704,55.15,71,40,21.85,scattered clouds
182,Mattru,SL,7.6244,-11.8332,78.58,87,91,5.88,light rain
183,Saint George,US,37.1041,-113.5841,94.42,31,0,3.0,clear sky
184,Fortuna,US,40.5982,-124.1573,60.66,94,100,3.44,overcast clouds
185,Tromsø,NO,69.6496,18.957,55.42,71,75,16.11,broken clouds
186,Lucapa,AO,-8.4192,20.7447,78.49,19,19,2.35,few clouds
187,Jalu,LY,29.0331,21.5482,95.41,24,0,10.58,clear sky
