City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
397,Mahon,ES,88.36,clear sky,39.8885,4.2658,ARTIEM Capri
400,‘Ewa Beach,US,78.75,scattered clouds,21.3156,-158.0072,Base Lodging
403,Eydhafushi,MV,81.07,overcast clouds,5.1033,73.0708,Soneva Fushi
404,São Filipe,CV,80.64,overcast clouds,14.8961,-24.4956,Hotel Xaguate
406,Glendive,US,80.22,clear sky,47.1053,-104.7125,Super 8 by Wyndham Glendive
407,Kudahuvadhoo,MV,82.2,overcast clouds,2.6708,72.8944,Niyama Private Islands Maldives
413,San Blas,MX,84.09,overcast clouds,21.5167,-105.2667,Hotel Posada del Rey
414,Pinar del Río,CU,85.78,overcast clouds,22.4175,-83.6981,Hostal La Colina Dunay y Raul
418,Djibouti,DJ,83.1,overcast clouds,11.5,42.5,Orchid Main Camp Goubet
420,Rajaori,IN,77.52,broken clouds,33.3833,74.3,Hotel Ashoka
427,Broome,US,76.86,broken clouds,42.2506,-75.833,Chenango Valley State Park
428,Kisi,NG,79.3,light rain,9.0833,3.85,New NCCF KISI
429,Ondjiva,AO,76.44,clear sky,-17.0667,15.7333,COMBUESA
430,Griffith,US,77.11,broken clouds,41.5284,-87.4237,Apartment above Depot Bar
431,Ramsey,US,80.01,clear sky,45.0333,-93.0835,"Holiday Inn Express & Suites St. Paul NE (Vadnais Heights), an IHG Hotel"
436,Buchanan,LR,78.15,overcast clouds,5.8808,-10.0467,Kamaneahn Hotel Inc
438,Port-Gentil,GA,75.25,few clouds,-0.7193,8.7815,Fengshui Residence
442,Bac Lieu,VN,77.85,overcast clouds,9.285,105.7244,Khách sạn Sài Gòn Bạc Liêu
444,Kashgar,CN,78.22,scattered clouds,39.4547,75.9797,帕米尔青年旅舍
446,Puerto El Triunfo,SV,87.71,scattered clouds,13.2833,-88.55,Hotel Jardin
449,Dawlatabad,AF,86.07,clear sky,36.4141,64.9053,WASIM ASGAR KHAN
450,Winkler,CA,77.0,clear sky,49.1817,-97.941,Quality Inn & Suites
456,Olhão,PT,79.29,clear sky,37.0286,-7.8411,Real Marina Residence
463,Kānkon,IN,79.02,overcast clouds,15.0167,74.0167,Palolem Beach Resort
467,Bacolod City,PH,76.08,overcast clouds,10.6667,122.95,Planta Hotel & Residences
468,Roswell,US,86.86,few clouds,34.0232,-84.3616,La Quinta Inn & Suites by Wyndham Atlanta Roswell
473,Sibolga,ID,76.53,scattered clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
476,Monte Patria,CL,76.03,clear sky,-30.6919,-70.9467,Hotel Monte Cordillera
479,Gizo Government Station,SB,81.25,light rain,-8.103,156.8419,Imagination Island
486,Kānor,IN,80.04,overcast clouds,24.4333,74.2667,Laxmi lal choudhary
495,Acaraú,BR,87.44,clear sky,-2.8856,-40.12,castelo pizzaria
498,Kavaratti,IN,80.71,overcast clouds,10.5669,72.642,Green leaf
501,Greven,DE,85.03,clear sky,52.0936,7.594,Landhotel Zur Gronenburg
502,Port Blair,IN,81.19,overcast clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
503,Golden,US,86.97,few clouds,39.7555,-105.2211,"The Golden Hotel, Ascend Hotel Collection"
506,Keelung,TW,85.12,clear sky,25.1283,121.7419,East Coast Star Boutique Hotel
508,Shangrao,CN,83.32,overcast clouds,28.4532,117.9686,Boyue boutique Hotel
519,Amarpur,IN,82.87,clear sky,25.0333,86.9,Amit kirana store
525,Esqueda,MX,78.6,broken clouds,30.7167,-109.5833,Hotel Esqueda
534,Bartica,GY,82.72,overcast clouds,6.4,-58.6167,Sloth Island Nature Resort
535,Colares,PT,85.19,few clouds,38.7992,-9.4469,Arribas Sintra Hotel
537,Ta Khmau,KH,80.65,scattered clouds,11.4833,104.95,Takhmao Good Health Hotel
539,Yinchuan,CN,76.15,overcast clouds,38.4681,106.2731,JJ Inns - Yinchuan New Moon Square Branch
540,Farmington,US,83.77,clear sky,36.7281,-108.2187,Courtyard by Marriott Farmington
550,Sulangan,PH,80.76,light rain,11.1373,123.7228,Maia's Beach Resort
551,Am Timan,TD,77.49,overcast clouds,11.0297,20.2827,Palais du chef Canton Salamt
552,Matadi,CD,89.73,scattered clouds,-5.8167,13.45,Hotel Vivi Palace
557,Las Lomas,PA,87.21,scattered clouds,8.4333,-82.4,Hotel Castilla
558,Japura,ID,75.88,broken clouds,-0.3167,102.35,Rumah mbah Jamah
559,Brainerd,US,79.05,clear sky,46.358,-94.2008,"Holiday Inn Express & Suites Brainerd-Baxter, an IHG Hotel"
561,Huntsville,US,88.16,broken clouds,34.7304,-86.5861,Embassy Suites by Hilton Huntsville
566,Samaná,DO,84.16,broken clouds,19.2056,-69.3369,The Bannister - Hotel & Yacht Club
569,Kalmunai,LK,81.25,overcast clouds,7.4167,81.8167,VS Villa
570,Beyneu,KZ,87.58,scattered clouds,45.3167,55.2,NUR
572,Yangi Marg`ilon,UZ,84.92,clear sky,40.4272,71.7189,Ikathouse
574,Gijang,KR,82.13,overcast clouds,35.2442,129.2139,Samyang Beach Villa
576,Ambon City,ID,77.23,light rain,-3.6954,128.1814,Swiss-Belhotel Ambon
577,Lugovoy,KZ,76.08,overcast clouds,42.9472,72.7644,Ж.Д Вокзал Луговая
578,Yanam,IN,78.31,overcast clouds,16.7333,82.2167,The Regency Hotel
580,Yabrūd,SY,76.42,clear sky,33.9674,36.6574,صالة افراح الاندلس
581,Tarakan,ID,80.51,overcast clouds,3.3,117.6333,RedDoorz Syariah near Taman Berlabuh Tarakan
584,Porto Walter,BR,86.23,broken clouds,-8.2686,-72.7439,Hotel Silva
588,São Gotardo,BR,81.63,broken clouds,-19.3111,-46.0489,HOTEL BOMTEMPO
589,Dhubri,IN,81.55,scattered clouds,26.0333,89.9667,"Hotel Samrat, Dhubri"
593,Lishan,CN,78.89,overcast clouds,31.8576,113.2951,Hongdu Hotel
594,Ipilan,PH,79.54,broken clouds,8.8431,117.9033,Brookes Inn
595,La Rioja,ES,83.98,light rain,42.25,-2.5,Casa Concejos
599,Mikhaylovka,RU,82.71,scattered clouds,50.06,43.2379,5 Komnat
601,Yārāda,IN,80.92,mist,17.65,83.2667,Yarada Jungle Beach Resorts
602,Novyy Svit,UA,83.21,clear sky,47.8059,38.0211,Энергетик
604,Ternate,ID,80.42,overcast clouds,0.8,127.4,Sahid Bela Ternate Hotel
607,Laguna,US,78.01,clear sky,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
611,Puerto Escondido,MX,85.03,scattered clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
617,Maryville,US,89.67,scattered clouds,35.7565,-83.9705,"Holiday Inn Express & Suites Alcoa (Knoxville Airport), an IHG Hotel"
620,Along,IN,77.14,broken clouds,28.1667,94.7667,Hotel West
624,Laas,IT,77.88,scattered clouds,46.6166,10.7002,Pension Feldgärtenhof
625,Thunder Bay,CA,84.11,few clouds,48.4001,-89.3168,Victoria Inn Hotel and Convention Centre
626,Baculin,PH,76.95,broken clouds,7.4525,126.5842,Baculin Cove Beach Resort
629,Denpasar,ID,78.46,scattered clouds,-8.65,115.2167,OYO 3156 Hotel Warta 2
630,Tirumullaivāsal,IN,83.64,overcast clouds,11.2333,79.8333,AMEEN HOUSE
632,Agía Galíni,GR,80.74,clear sky,35.1,24.6833,Sunningdale Bungalows
637,Bingöl,TR,81.75,clear sky,38.8847,40.4939,Vali Konağı
